TYPE-COLLATERAL,COLLATERAL,PARTY,DOC-ID,DRDATE,PROCESSING-DATE,CORR-DATE,CORR-ID,SERIAL-ID,DOC-TYPE,
2,ROLLS TRENT 772B-60EP 42605          ,                                                  ,            ,20250623,20250623,20250623,C,42605                         ,S/A,
2,ROLLS XWB-84 21990                   ,                                                  ,ARE016942959,20250609,20250610,        , ,21990                         ,S/A,
2,ROLLS XWB-84 21990                   ,                                                  ,ARE016942959,20250609,20250610,        , ,21990                         ,S/A,
2,RRDEU BR 700-715-A130 13163          ,                                                  ,ARE016889105,20250516,20250602,20250602,A,13163                         ,REL,
2,RRDEU BR 700-715-A130 13163          ,                                                  ,ARE016889105,20250516,20250602,20250602,A,13163                         ,REL,
2,RRDEU BR 700-715-A130 13196          ,                                                  ,ARE016889105,20250516,20250602,20250602,A,13196                         ,REL,
2,RRDEU BR 700-715-A130 13196          ,                                                  ,ARE016889105,20250516,20250602,20250602,A,13196                         ,REL,
2,RRDEU BR700-710A2-20 12270           ,                                                  ,ARE016965036,20250617,20250617,        , ,12270                         ,REL,
2,RRDEU BR700-710A2-20 12270           ,                                                  ,ARE016965040,20250617,20250617,        , ,12270                         ,S/A,
2,RRDEU BR700-710A2-20 12270           ,                                                  ,ARE016965040,20250617,20250617,        , ,12270                         ,S/A,
2,RRDEU BR700-710A2-20 12273           ,                                                  ,ARE016965036,20250617,20250617,        , ,12273                         ,REL,
2,RRDEU BR700-710A2-20 12273           ,                                                  ,ARE016965040,20250617,20250617,        , ,12273                         ,S/A,
2,RRDEU BR700-710A2-20 12273           ,                                                  ,ARE016965040,20250617,20250617,        , ,12273                         ,S/A,
2,RRDEU BR700-710A2-20 12455           ,                                                  ,            ,20250624,20250625,        , ,12455                         ,DIS,
2,RRDEU BR700-710A2-20 12455           ,                                                  ,            ,20250624,20250625,        , ,12455                         ,DIS,
2,RRDEU BR700-710A2-20 12455           ,                                                  ,            ,20250624,20250625,        , ,12455                         ,DIS,
2,RRDEU BR700-710A2-20 12456           ,                                                  ,            ,20250624,20250625,        , ,12456                         ,DIS,
2,RRDEU BR700-710A2-20 12456           ,                                                  ,            ,20250624,20250625,        , ,12456                         ,DIS,
2,RRDEU BR700-710A2-20 12456           ,                                                  ,            ,20250624,20250625,        , ,12456                         ,DIS,
2,RRDEU BR700-710A2-20 12827           ,                                                  ,ARE016970221,20250603,20250603,        , ,12827                         ,S/A,
2,RRDEU BR700-710A2-20 12827           ,                                                  ,ARE016970221,20250603,20250603,        , ,12827                         ,S/A,
2,RRDEU BR700-710A2-20 12828           ,                                                  ,ARE016970221,20250603,20250603,        , ,12828                         ,S/A,
2,RRDEU BR700-710A2-20 12828           ,                                                  ,ARE016970221,20250603,20250603,        , ,12828                         ,S/A,
2,RRDEU BR700-710C4-11 15180           ,                                                  ,ARE016955616,20250605,20250605,        , ,15180                         ,S/A,
2,RRDEU BR700-710C4-11 15180           ,                                                  ,ARE016955616,20250605,20250605,        , ,15180                         ,S/A,
2,RRDEU BR700-710C4-11 15181           ,                                                  ,ARE016955616,20250605,20250605,        , ,15181                         ,S/A,
2,RRDEU BR700-710C4-11 15181           ,                                                  ,ARE016955616,20250605,20250605,        , ,15181                         ,S/A,
2,RRDEU BR700-710C4-11 15190           ,                                                  ,ARE016933003,20250605,20250605,        , ,15190                         ,S/A,
2,RRDEU BR700-710C4-11 15190           ,                                                  ,ARE016933003,20250605,20250605,        , ,15190                         ,S/A,
